club_name,club_city,club_region,club_country,club_postcode,course_name,course_holes,course_par_total,tee_name,tee_colour,gender_category,tee_par_total,course_rating,slope_rating,sss_value,hole_number,hole_default_par,hole_default_stroke_index,tee_yardage,tee_par,tee_stroke_index
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,White,white,Men,71,70.6,134,,10,4,8,347,4,8
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Yellow,yellow,Men,71,70.2,134,,10,4,8,332,4,8
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Red,red,Women,71,72.9,130,,10,4,8,300,4,6
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Blue,blue,Men,71,69.2,130,,10,4,8,323,4,8
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,White,white,Men,71,70.6,134,,11,3,14,155,3,14
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Yellow,yellow,Men,71,70.2,134,,11,3,14,149,3,14
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Red,red,Women,71,72.9,130,,11,3,14,150,3,17
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Blue,blue,Men,71,69.2,130,,11,3,14,141,3,14
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,White,white,Men,71,70.6,134,,12,4,6,407,4,6
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Yellow,yellow,Men,71,70.2,134,,12,4,6,394,4,6
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Red,red,Women,71,72.9,130,,12,4,6,386,4,9
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Blue,blue,Men,71,69.2,130,,12,4,6,389,4,6
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,White,white,Men,71,70.6,134,,13,3,16,155,3,16
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Yellow,yellow,Men,71,70.2,134,,13,3,16,153,3,16
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Red,red,Women,71,72.9,130,,13,3,16,144,3,12
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Blue,blue,Men,71,69.2,130,,13,3,16,153,3,16
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,White,white,Men,71,70.6,134,,14,4,2,399,4,2
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Yellow,yellow,Men,71,70.2,134,,14,4,2,393,4,2
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Red,red,Women,71,72.9,130,,14,4,2,389,4,2
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Blue,blue,Men,71,69.2,130,,14,4,2,383,4,2
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,White,white,Men,71,70.6,134,,15,4,3,387,4,3
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Yellow,yellow,Men,71,70.2,134,,15,4,3,360,4,3
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Red,red,Women,71,72.9,130,,15,4,3,308,4,10
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Blue,blue,Men,71,69.2,130,,15,4,3,373,4,3
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,White,white,Men,71,70.6,134,,16,3,10,145,3,10
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Yellow,yellow,Men,71,70.2,134,,16,3,10,135,3,10
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Red,red,Women,71,72.9,130,,16,3,10,123,3,16
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Blue,blue,Men,71,69.2,130,,16,3,10,126,3,10
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,White,white,Men,71,70.6,134,,17,5,7,525,5,7
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Yellow,yellow,Men,71,70.2,134,,17,5,7,489,5,7
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Red,red,Women,71,72.9,130,,17,5,7,457,5,8
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Blue,blue,Men,71,69.2,130,,17,5,7,508,5,7
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,White,white,Men,71,70.6,134,,18,4,13,309,4,13
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Yellow,yellow,Men,71,70.2,134,,18,4,13,301,4,13
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Red,red,Women,71,72.9,130,,18,4,13,295,4,5
Beamish FlingGolf,Beamish,County Durham,GB,DH9 0RH,Beamish golf,18,71,Blue,blue,Men,71,69.2,130,,18,4,13,301,4,13
